phase,round_code,round_label,game_datetime_raw,venue_raw,home_team,away_team,home_score,away_score,status,game_url
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Brimbank Anglican Church / Court 1,Altona U14 Boys 5,Broadmeadows U14 Boys 3,29,36,Broadmeadows U14 Boys 3 won by 7 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/2b689b80
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Broadmeadows Basketball Stadium / Court 2,Melton U14 Boys 2,Keilor U14 Boys 6,51,66,Keilor U14 Boys 6 won by 15 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/2c982ee3
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Marcellin College / Court 2,Hawthorn U14 Boys 4,Blackburn U14 Boys 3,36,39,Blackburn U14 Boys 3 won by 3 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/731a1281
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Manningham DISC (Donvale Indoor Sports Centre) / Court 1,Bulleen U14 Boys 6,Camberwell U14 Boys 6,30,45,Camberwell U14 Boys 6 won by 15 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/2119fe4b
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Upwey High School / Court 2,Ringwood U14 Boys 4,Casey U14 Boys 7,35,48,Casey U14 Boys 7 won by 13 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/4a6777d6
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Montmorency Secondary College / Court 2,Diamond Valley U14 Boys 4,Camberwell U14 Boys 3,40,48,Camberwell U14 Boys 3 won by 8 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/74b61964
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Coburg Basketball Stadium / Court 1,Keilor U14 Boys 1,Westgate U14 Boys 1,53,35,Keilor U14 Boys 1 won by 18 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/aa3ef03b
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Kerrimuir Primary School / Court 1,Diamond Valley U14 Boys 6,Melbourne U14 Boys 6,49,54,Melbourne U14 Boys 6 won by 5 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/6413e431
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Bentleigh Secondary College / Court 2,Chelsea U14 Boys 4,Camberwell U14 Boys 7,48,55,Camberwell U14 Boys 7 won by 7 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/3909aa38
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Eagle Stadium / Court 6,Collingwood U14 Boys 3,Geelong United U14 Boys 6,34,29,Collingwood U14 Boys 3 won by 5 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/5a69576d
14 Boys Grading 1 crossover,R1,Round 1,"06:40 PM, Friday, 12 Dec 2025",Mill Park Basketball Stadium / Court 1,Broadmeadows U14 Boys 1,Diamond Valley U14 Boys 1,46,43,Broadmeadows U14 Boys 1 won by 3 points,https://www.playhq.com/basketball-victoria/org/victorian-junior-basketball-league-vjbl/202526/14-boys-grading-1-crossover/game-centre/a9d5979a
